192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/audio/bone-crack.mp3 HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/audio/oof.mp3 HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/audio/hitmarker.mp3 HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/controller-buttons/dpad-right.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/audio/arcade-clink.mp3 HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/enemy-webps/180px-NO_U_cycle.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/enemy-webps/3d-pepe.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/enemy-webps/alfred-e-newman.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/enemy-webps/dancing-guy.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/enemy-webps/dancingzoidberg.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/enemy-webps/doom-guy.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/enemy-webps/dragon.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/enemy-webps/eyes.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/enemy-webps/emoticon.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/enemy-webps/eyes2.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/enemy-webps/fallout-guy-shoots.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:14] "GET /games/shooter-game/assets/enemy-webps/firework.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:15] "GET /games/shooter-game/assets/enemy-webps/frog.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:15] "GET /games/shooter-game/assets/enemy-webps/keyboard_smash.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:15] "GET /games/shooter-game/assets/enemy-webps/lips.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:15] "GET /games/shooter-game/assets/enemy-webps/lips2.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:15] "GET /games/shooter-game/assets/enemy-webps/lips3.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:15] "GET /games/shooter-game/assets/enemy-webps/n64-logo.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:15] "GET /games/shooter-game/assets/enemy-webps/norman.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:15] "GET /games/shooter-game/assets/enemy-webps/pole-dance.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:15] "GET /games/shooter-game/assets/enemy-webps/skeleton.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:15] "GET /games/shooter-game/assets/enemy-webps/skull.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:15] "GET /games/shooter-game/assets/enemy-webps/spiral.webp HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:54:15] "GET /media/images/pngs/dead-favicon.png HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 23:08:58] "GET /games/shooter-game/shooter-game.html HTTP/1.1" 304 -
192.168.1.127 - - [24/Apr/2026 23:08:58] "GET /experiments/chat-sandbox/chat-sandbox.html HTTP/1.1" 304 -
192.168.1.127 - - [24/Apr/2026 23:08:58] "GET /games/shooter-game/assets/levels/shooter-game-level1.html HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 23:08:58] "GET /games/shooter-game/assets/controller-buttons/controls.html HTTP/1.1" 304 -
192.168.1.127 - - [24/Apr/2026 23:08:58] "GET /games/shooter-game/assets/enemy-webps.json HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 23:08:59] "HEAD /games/shooter-game/assets/levels/shooter-game-level1.html HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 23:09:15] "GET /games/shooter-game/ HTTP/1.1" 304 -
192.168.1.127 - - [24/Apr/2026 23:09:15] code 404, message File not found
192.168.1.127 - - [24/Apr/2026 23:09:15] "GET /games/shooter-game/assets/games/shooter-game/assets/scripts/screenshot-shortcut.js HTTP/1.1" 404 -
192.168.1.127 - - [24/Apr/2026 23:09:15] "GET /games/shooter-game/assets/scripts/shooter-game-chat.js HTTP/1.1" 304 -
192.168.1.127 - - [24/Apr/2026 23:09:15] "GET /games/shooter-game/assets/levels/shooter-game-level1.html HTTP/1.1" 304 -
192.168.1.127 - - [24/Apr/2026 23:09:15] "GET /games/shooter-game/assets/scripts/images-panel-viewer-host-patch.js HTTP/1.1" 304 -
192.168.1.127 - - [24/Apr/2026 23:09:15] "GET /games/shooter-game/assets/scripts/saved-images-storage.js HTTP/1.1" 304 -
192.168.1.127 - - [24/Apr/2026 23:09:15] "GET /games/shooter-game/assets/scripts/level1-runtime.js HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 23:09:15] "GET /games/shooter-game/assets/enemy-webps.json HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 23:09:15] "HEAD /games/shooter-game/assets/levels/shooter-game-level1.html HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 23:11:28] "GET /games/shooter-game/assets/enemy-webps.json HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 23:11:28] "HEAD /games/shooter-game/assets/levels/shooter-game-level1.html HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 23:11:45] "GET /games/shooter-game/ HTTP/1.1" 304 -
192.168.1.127 - - [24/Apr/2026 23:11:45] code 404, message File not found
192.168.1.127 - - [24/Apr/2026 23:11:45] "GET /games/shooter-game/assets/games/shooter-game/assets/scripts/screenshot-shortcut.js HTTP/1.1" 404 -
192.168.1.127 - - [24/Apr/2026 23:11:45] "GET /games/shooter-game/assets/levels/shooter-game-level1.html HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 23:11:45] "GET /games/shooter-game/assets/scripts/level1-runtime.js HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 23:11:45] "GET /games/shooter-game/assets/enemy-webps.json HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 23:11:45] "HEAD /games/shooter-game/assets/levels/shooter-game-level1.html HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 23:12:11] "GET /games/shooter-game/ HTTP/1.1" 304 -
192.168.1.127 - - [24/Apr/2026 23:12:11] "GET /games/shooter-game/assets/levels/shooter-game-level1.html HTTP/1.1" 304 -
192.168.1.127 - - [24/Apr/2026 23:12:11] code 404, message File not found
